Species,Common name,Adult weight (g),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Maximum longevity (yrs)
pulicaria,Daphnia,,,,,0.19
melanogaster,Fruit fly,,7,,,0.3
mellifera,Honey bee,,,,,8
obscurior,Cardiocondyla obscurior,,,,,0.5
niger,Black garden ant,,,,,28
dentata,Pheidole dentata,,,,,0.4
anynana,Squinting bush brown,,15,,,0.5
americanus,American lobster,,,,,100
bombina,Firebelly toad,,1095,,190,20
orientalis,Oriental firebelly toad,,,,148,15.8
variegata,Yellow-bellied toad,,,,73,29
americanus,American toad,21.7667,910,8,6000,36
boreas,Western toad,,1095,6,5200,11.5
canorus,Yosemite toad,,1460,11,1750,15
cognatus,Great plains toad,,730,4,11074,10.7
debilis,Green toad,,,,1300,12.4
hemiophrys,Canadian toad,,730,,,13.3
punctatus,Red-spotted toad,,730,,1500,11.3
retiformis,Sonoran green toad,,,2,,15.3
terrestris,Southern toad,19.267,,3,3250,10
varius,Veragoa stubfoot toad,,,,,10
bufo,Common European toad,,1460,,,40
alvarius,Colorado river toad,,1095,,7750,15.4
asperginis,Kihansi spray toad,,,,,5
lemur,Ridge-headed toad,,,,,10.7
peltocephala,Cuban toad,,,,,20
viridis,European green toad,,,,,11.9
blombergi,Colombian giant toad,,,,,28.7
marina,Cane toad,106.25,365,2,10000,24.8
schneideri,Eurura toad,,,,,15.1
aurita,Common horned frog,,,,,12.8
calcarata,Colombian horned frog,,,,,15.9
cornuta,Amazonian horned frog,,,,,10.3
ornata,Ornate horned frog,,,,,14.7
auratus,Green and black dart-poison frog,,365,12,6,20.5
leucomelas,Yellow-banded poison frog,,75,12,7,11.5
histrionica,Kokoe-pa poison dart frog,,,,,9.1
pumilio,Strawberry poison frog,,,,,7.5
occipitalis,African tigrine frog,48.1,,,,10.9
crepitans,Northern cricket frog,,,,,4.9
spurrelli,Maroon-eyed tree frog,,,,,5.5
spatulata,Treefrog,,,,,12.8
arborea,European tree frog,,,,,22
chrysoscelis,Cope's gray treefrog,,547,21,35,7.8
gratiosa,Barking treefrog,,,,2250,12.5
japonica,Japanese treefrog,,1278,,920,8.9
squirella,Squirrel treefrog,,,1,1000,8.5
versicolor,Gray treefrog,7.2,730,4,1800,7.8
caerulea,Australian green treefrog,,,,1100,20
septentrionalis,Cuban treefrog,,120,1,1500,12.9
vastus,Hispaniola giant treefrog,,,,,6.6
dacnicolor,Mexican leaf frog,,,,,8.7
bicolor,Waxy treefrog,,,,,10.3
paradoxa,Paradox frog,,,,,11
baudinii,Mexican treefrog,,,,2480,6.3
fodiens,Lowland burrowing treefrog,,,,,5.1
phaeota,Masked treefrog,,,,2000,4.1
venulosus,Marbled treefrog,,,,,10.5
truei,Coastal tailed frog,,,32,62,14
pentadactylus,Tungara frog,,,,,18.8
aurantiaca,Golden mantella,,,14,40,10.9
expectata,Blue-legged mantella,,365,,,3
carolinensis,Eastern narrow-mouthed toad,,365,1,722,6.8
pulchra,Malaysian narrowmouth toad,,,,,11
ornata,Ornate narrow-mouthed frog,,182,,,5
bifasciatus,Red-banded frog,,,,,10.3
gottlebei,Rainbow frog,,365,,,2
fuscus,Common Eurasian spadefoot toad,,,8,1740,11
goliath,Goliath frog,,,,,5.9
pipa,Surinam toad,,,,,7.7
laevis,African clawed frog,130,,2,,30.3
adspersus,African bullfrog,,,,,45
delalandii,Cape sand frog,,,,,11.3
catesbeianus,American bullfrog,54.4,730,4,,16
clamitans,Green frog,,730,,4000,10
pipiens,Northern leopard frog,29.0222,365,,4146,9
septentrionalis,Mink frog,,547,,2250,6
sylvaticus,Wood frog,7.88,547,,900,5
virgatipes,Carpenter frog,,730,,,6.2
lessonae,Pool frog,,,,2420,6
nigromaculatus,Black-spotted frog,,730,,2800,15
perezi,Italian green frog,,912,6,,6.8
ridibundus,Marsh frog,,1095,,6835,11
amurensis,Siberian wood frog,,1640,,2125,9
arvalis,Moor frog,,,,1750,11
aurora,California red-legged frog,,,,,15
esculenta,Edible frog,,,,,12
iberica,Iberian frog,,,,318,8
macrocnemis,Long-legged wood frog,,912,,2040,5
temporaria,European frog,,1095,,2585,27
couchii,Couch's spadefoot,,,,3000,6.7
holbrookii,Eastern spadefoot,,730,8,3872,12.3
intermontana,Great Basin spadefoot,,,3,676,20
gracile,Northwestern salamander,,730,,150,10.2
mabeei,Mabee's salamander,,,,,8.8
macrodactylum,Long-toed salamander,,730,40,250,10
maculatum,Spotted salamander,12.84,730,,125,32
mexicanum,Axolotl,,548,18,,17
opacum,Marbled salamander,,1113,,100,11.3
rosaceum,Chihuahuan mole salamander,,,,,14.4
talpoideum,Mole salamander,,730,,350,9
texanum,Small-mouthed salamander,,,35,625,13.8
tigrinum,Tiger salamander,9.402,1460,28,37,25
ensatus,California giant salamander,,,150,85,16.9
means,Two-toed amphiuma,200.967,1095,150,200,27
tridactylum,Three-toed amphiuma,,,135,200,15.9
davidianus,Chinese giant salamander,,,55,500,19.9
japonicus,Japanese giant salamander,,1825,60,500,55
alleganiensis,Hellbender,358.1,1825,72,275,29
boulengeri,Boulenger's oriental salamander,,,,32,11.9
leechii,Chinese salamander,,,,,7.1
nebulosus,Clouded salamander,,,,,14.2
retardatus,Japanese salamander,,,,,12.9
fischeri,Long-tailed clawed salamander,,,,,17
japonicus,Japanese clawed salamander,,,,17,14.2
mustersi,Afghanistan salamander,,,,,11
keyserlingii,Siberian salamander,,,23,70,8
dofleini,Giant palm salamander,,,,,6.9
mexicana,Palm salamander,,,,,12.2
monticola,Seal salamander,,1277,45,25,17.7
ochrophaeus,Allegheny mountain dusky salamander,0.6,1280,,16,19.8
quadramaculatus,Black-bellied salamander,14.34,1280,,25,15
welteri,Black mountain salamander,,1642,,26,20
lucifuga,Cave salamander,,1095,13,73,9.1
rathbuni,Texas blind salamander,,,,,10.3
