,Species,Common name,Adult weight (g),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Maximum longevity (yrs)
11,americanus,American toad,21.7667,910.0,8.0,6000.0,36.0
28,marina,Cane toad,106.25,365.0,2.0,10000.0,24.8
47,versicolor,Gray treefrog,7.2,730.0,4.0,1800.0,7.8
102,tigrinum,Tiger salamander,9.402000000000001,1460.0,28.0,37.0,25.0
104,means,Two-toed amphiuma,200.967,1095.0,150.0,200.0,27.0
108,alleganiensis,Hellbender,358.1,1825.0,72.0,275.0,29.0
166,cooperii,Cooper's hawk,526.64,730.0,24.0,4.0,20.3
167,gentilis,Northern goshawk,1044.2,730.0,33.0,3.0,22.0
169,striatus,Sharp-shinned hawk,135.0,365.0,34.0,4.0,19.9
173,chrysaetos,Golden eagle,4800.0,1460.0,40.0,2.0,48.0
181,jamaicensis,Red-tailed hawk,1362.0,730.0,31.0,3.0,30.7
182,lagopus,Rough-legged hawk,980.64,730.0,29.0,5.0,18.8
183,lineatus,Red-shouldered hawk,607.0,365.0,33.0,3.5,22.4
184,platypterus,Broad-winged hawk,454.0,365.0,25.0,2.5,18.3
185,regalis,Ferruginous hawk,1500.0,730.0,32.0,3.0,23.7
187,swainsoni,Swainson's hawk,980.64,730.0,31.0,3.0,24.9
188,anthracinus,Common black hawk,837.0,730.0,38.0,1.5,13.5
191,cyaneus,Northern harrier,392.0,365.0,31.0,4.4,17.1
201,albicilla,White-tailed sea-eagle,6696.5,1460.0,41.0,2.0,42.0
202,leucocephalus,Bald eagle,3175.0,1460.0,35.0,2.0,48.0
206,mississippiensis,Mississippi kite,266.0,365.0,31.0,2.0,11.2
212,unicinctus,Harris's hawk,994.26,365.0,34.0,3.0,25.0
214,jefferyi,Philippine eagle,6500.0,2555.0,63.0,1.0,41.0
215,sociabilis,Snail kite,352.5,365.0,30.0,3.0,17.0
217,aura,Turkey vulture,2200.0,4015.0,39.0,2.0,20.8
218,atratus,Black vulture,2270.0,2920.0,35.0,2.0,25.5
219,californianus,California condor,11175.0,2190.0,57.0,1.0,45.0
221,gryphus,Andean condor,10500.0,2555.0,56.0,1.0,79.0
222,haliaetus,Osprey,1362.0,1095.0,38.0,3.0,32.0
224,sponsa,Wood duck,452.8,365.0,31.0,12.0,22.5
225,aegyptiaca,Egyptian goose,1900.0,730.0,29.0,7.0,25.5
226,acuta,Northern pintail,721.0,240.0,22.0,7.5,27.4
227,americana,American wigeon,793.8,365.0,23.0,9.0,21.3
228,clypeata,Northern shoveler,613.0,240.0,23.0,11.0,22.6
229,crecca,Green-winged teal,343.8,180.0,22.0,10.0,27.1
230,cyanoptera,Cinnamon teal,411.0,365.0,23.0,10.0,12.9
231,discors,Blue-winged teal,420.0,240.0,24.0,10.0,23.2
232,fulvigula,Mottled duck,950.0,365.0,26.0,10.0,20.0
233,laysanensis,Laysan duck,500.0,365.0,28.0,3.8,12.0
234,penelope,Eurasian wigeon,660.0,365.0,24.0,8.0,35.2
235,platyrhynchos,Mallard,1048.1,365.0,26.0,9.0,29.1
237,rubripes,American black duck,998.7,365.0,28.0,9.0,26.6
238,strepera,Gadwall,791.0,240.0,26.0,10.0,28.0
239,albifrons,Greater white-fronted goose,2681.0,1095.0,27.0,5.0,47.0
242,fabalis,Bean goose,3348.0,1095.0,28.0,4.0,25.6
243,affinis,Lesser scaup,787.0,365.0,24.0,10.0,18.3
244,americana,Redhead,1077.3,365.0,26.0,13.0,22.6
245,collaris,Ring-necked duck,737.0,365.0,27.0,9.0,20.4
248,marila,Greater scaup,928.5,365.0,26.0,9.0,22.1
249,valisineria,Canvasback,1208.8,240.0,24.0,9.0,29.5
250,bernicla,Brent goose,1163.2,730.0,24.0,4.0,28.8
251,canadensis,Canada goose,3200.0,730.0,26.0,5.0,42.0
254,sandvicensis,Hawaiian goose,2150.0,730.0,30.0,4.0,42.0
255,albeola,Bufflehead,400.0,730.0,30.0,8.0,18.7
256,clangula,Common goldeneye,895.86,730.0,30.0,10.0,18.4
257,islandica,Barrow's goldeneye,957.15,730.0,29.0,11.0,18.0
259,caerulescens,Snow goose,2806.65,730.0,24.0,4.0,27.5
260,canagica,Emperor goose,2148.0,365.0,24.0,4.9,12.0
261,rossii,Ross's goose,1715.0,570.0,21.0,4.0,22.5
262,hyemalis,Oldsquaw,872.0,730.0,24.0,7.0,22.7
263,buccinator,Trumpeter swan,13000.0,730.0,35.0,5.0,32.5
264,columbianus,Tundra swan,6350.0,730.0,31.0,4.0,24.1
266,olor,Mute swan,8300.0,1095.0,36.0,5.3,70.0
267,autumnalis,Black-bellied whistling duck,828.0,365.0,27.0,14.0,8.2
268,bicolor,Fulvous whistling duck,737.1,365.0,25.0,13.0,11.2
270,histrionicus,Harlequin duck,561.25,365.0,28.0,6.0,14.6
271,cucullatus,Hooded merganser,634.375,730.0,31.0,11.0,15.7
272,fusca,White-winged scoter,1360.8,730.0,28.0,11.0,21.4
273,nigra,Black scoter,1052.2,730.0,29.0,9.0,16.8
276,merganser,Common merganser,1445.0,730.0,30.0,10.0,14.8
277,serrator,Red-breasted merganser,1020.6,730.0,32.0,10.0,21.3
280,jamaicensis,Ruddy duck,542.0,365.0,23.0,8.0,13.6
282,stelleri,Steller's eider,907.2,730.0,26.0,8.0,23.0
284,mollissima,Common eider,2130.0,730.0,28.0,4.0,37.8
285,spectabilis,King eider,1617.0,730.0,23.0,5.0,18.9
290,pelagica,Chimney swift,22.8,365.0,20.0,4.5,15.0
291,niger,Black swift,45.0,365.0,24.0,1.0,16.1
295,colubris,Ruby-throated hummingbird,3.1,365.0,13.0,2.0,9.1
297,anna,Anna's hummingbird,4.4,365.0,16.0,2.0,8.5
299,latirostris,Broad-billed hummingbird,3.3,365.0,17.0,2.0,8.8
300,fulgens,Magnificent hummingbird,8.1,365.0,14.0,2.0,11.0
303,platycercus,Broad-tailed hummingbird,4.2,365.0,16.0,2.0,14.0
304,rufus,Rufous hummingbird,3.5,365.0,16.0,2.0,8.9
305,calliope,Calliope hummingbird,2.6,365.0,15.0,2.0,7.0
321,cristatella,Crested auklet,289.0,1095.0,34.0,1.0,10.8
322,pusilla,Least auklet,96.0,1095.0,30.0,1.0,8.1
324,torda,Razorbill,726.0,1460.0,36.0,1.0,42.0
326,columba,Pigeon guillemot,483.8,1095.0,31.0,2.0,15.2
327,grylle,Black guillemot,427.5,1095.0,25.0,2.0,29.9
328,monocerata,Rhinoceros auklet,544.1,1095.0,45.0,1.0,28.2
329,arctica,Atlantic puffin,490.5,1460.0,42.0,1.0,40.8
331,hypoleucus,Xantus' murrelet,167.0,730.0,34.0,2.0,15.0
332,aalge,Common murre,992.0,1825.0,31.0,1.0,42.8
333,lomvia,Thick-billed murre,964.0,2081.0,33.0,1.0,29.0
335,alexandrinus,Snowy plover,37.0,331.0,24.0,3.0,19.0
338,melodus,Piping plover,49.0,365.0,28.0,4.0,14.0
341,semipalmatus,Semipalmated plover,52.0,912.0,24.0,4.0,9.2
342,vociferus,Killdeer,88.0,365.0,24.0,4.0,10.9
344,dominica,American golden plover,118.0,365.0,26.0,4.0,13.0
346,squatarola,Black-bellied plover,224.0,730.0,27.0,4.0,25.6
349,vanellus,Northern lapwing,218.5,730.0,24.0,4.0,24.5
350,bachmani,Black oystercatcher,670.0,1825.0,26.0,2.0,16.0
352,palliatus,American oystercatcher,565.0,1095.0,27.0,2.0,17.0
353,minutus,Black noddy,110.4,730.0,34.0,1.0,27.1
354,stolidus,Noddy tern,178.0,1460.0,35.0,1.0,26.2
355,niger,Black tern,60.0,730.0,21.0,3.0,21.0
357,ridibundus,Black-headed gull,306.0,730.0,22.0,3.0,32.9
358,nilotica,Gull-billed tern,221.0,1825.0,22.0,3.0,16.0
359,alba,Fairy tern,98.1,1764.0,36.0,1.0,35.9
360,minutus,Little gull,119.0,730.0,21.0,3.0,20.9
361,caspia,Caspian tern,644.0,1095.0,21.0,2.0,30.0
365,argentatus,Herring gull,1094.0,1460.0,26.0,3.0,49.0
367,californicus,California gull,691.0,1095.0,25.0,3.0,30.0
368,canus,Mew gull,430.6,730.0,23.0,3.0,33.7
369,delawarensis,Ring-billed gull,518.5,730.0,21.0,3.0,31.8
372,glaucoides,Iceland gull,945.5,1460.0,25.0,2.39,33.0
374,hyperboreus,Glaucous gull,1210.0,1460.0,27.0,3.0,21.1
375,marinus,Great black-backed gull,1658.5,1825.0,27.0,3.0,29.2
377,occidentalis,Western gull,931.5,1460.0,27.0,3.0,33.9
381,fuscatus,Sooty tern,148.0,1460.0,28.0,1.0,35.8
383,eburnea,Ivory gull,550.0,730.0,25.0,2.0,23.9
386,tridactyla,Black-legged kittiwake,317.0,1460.0,27.0,2.0,28.5
387,niger,Black skimmer,315.0,730.0,23.0,4.0,20.2
388,dougallii,Roseate tern,112.0,1095.0,23.0,2.0,25.7
389,forsteri,Forster's tern,158.0,730.0,23.0,3.0,15.8
390,hirundo,Common tern,120.0,1095.0,24.0,2.5,33.0
391,paradisaea,Arctic tern,100.0,1095.0,21.0,2.0,34.0
392,albifrons,Little tern,31.0,730.0,21.0,2.0,23.9
393,antillarum,Least tern,40.0,1095.0,21.0,2.0,24.1
394,elegans,Elegant tern,251.0,1095.0,26.0,1.0,20.9
395,maximus,Royal tern,373.0,1095.0,28.0,2.0,28.6
396,sandvicensis,Sandwich tern,250.0,1095.0,22.0,1.0,30.8
398,mexicanus,Black-necked (Hawaiian) stilt,186.0,365.0,25.0,4.0,19.1
401,macularius,Spotted sandpiper,34.0,365.0,20.0,4.0,12.0
402,interpres,Ruddy turnstone,136.0,730.0,22.0,4.0,22.3
404,alba,Sanderling,50.0,730.0,27.0,4.0,18.6
405,alpina,Dunlin,52.5,730.0,21.0,4.0,28.8
406,canutus,Red knot,135.0,1095.0,22.0,4.0,27.3
409,maritima,Purple sandpiper,65.2,1095.0,22.0,4.0,20.8
410,mauri,Western sandpiper,26.19,730.0,21.0,4.0,9.2
412,minutilla,Least sandpiper,26.0,365.0,20.0,4.0,16.0
413,pusilla,Semipalmated sandpiper,27.0,365.0,20.0,4.0,19.3
416,gallinago,Common snipe,131.6,365.0,19.0,4.0,18.2
418,griseus,Short-billed dowitcher,105.0,365.0,21.0,4.0,13.3
420,fedoa,Marbled godwit,336.0,1095.0,24.0,4.0,13.7
421,lapponica,Bar-tailed godwit,322.0,730.0,21.0,4.0,34.0
425,phaeopus,Whimbrel,365.7,730.0,22.0,4.0,24.2
430,minor,American woodcock,197.5,300.0,20.0,4.0,20.9
436,semipalmata,Willet,270.0,730.0,22.0,4.0,12.6
443,parasiticus,Parasidic jaeger,445.5,1200.0,26.0,2.0,31.1
448,ciconia,European white stork,3350.0,1460.0,33.0,4.0,39.0
455,crumeniferus,Marabou,8000.0,1460.0,30.0,2.0,44.7
458,americana,Wood stork,2500.0,1460.0,30.0,3.0,27.0
464,livia,Rock dove,358.7,140.0,18.0,2.0,35.0
468,passerina,Common ground dove,35.0,75.0,13.0,2.0,7.2
472,fasciata,Band-tailed pigeon,315.0,365.0,19.0,1.0,18.5
475,decaocto,Eurasian collared-dove,157.4,365.0,15.0,2.0,17.9
478,asiatica,White-winged dove,140.0,365.0,13.0,2.0,25.0
479,macroura,Mourning dove,119.0,80.0,14.0,2.0,31.3
493,americanus,Yellow-billed cuckoo,57.8,365.0,14.0,3.0,5.0
494,erythropthalmus,Black-billed cuckoo,37.5,365.0,14.0,2.5,5.0
496,californianus,Greater roadrunner,376.0,365.0,20.0,4.0,9.0
503,columbarius,Merlin,195.0,365.0,30.0,5.0,12.7
506,mexicanus,Prairie falcon,858.0,365.0,31.0,4.0,17.2
508,peregrinus,Peregrine falcon,840.0,365.0,30.0,3.0,25.0
510,rusticolus,Gyrfalcon,1406.5,730.0,35.0,3.72,13.5
511,sparverius,American kestrel,117.0,365.0,29.0,4.6,17.0
518,vetula,Plain chachalaca,495.5,365.0,23.0,3.0,8.8
521,californica,California quail,138.0,274.0,22.0,14.0,9.6
522,gambelii,Gambel's quail,166.0,365.0,22.0,11.0,7.4
523,virginianus,Northern bobwhite,194.0,365.0,23.0,15.0,6.4
525,umbellus,Ruffed grouse,532.0,120.0,24.0,11.0,11.0
526,urophasianus,Sage grouse,1929.5,365.0,26.0,7.0,7.0
528,pictus,Golden pheasant,625.0,365.0,22.0,10.0,13.4
532,obscurus,Blue grouse,1058.5,365.0,26.0,8.0,14.0
533,canadensis,Spruce grouse,417.3,365.0,20.0,5.0,13.0
537,lagopus,Willow ptarmigan,595.875,365.0,21.0,6.0,9.0
538,leucura,White-tailed ptarmigan,326.0,365.0,23.0,6.0,15.0
540,gallopavo,Wild turkey,6050.0,365.0,28.0,11.0,13.0
541,cristatus,Indian peafowl,4200.0,730.0,29.0,5.0,23.2
542,perdix,Grey partridge,492.0,365.0,24.0,16.0,5.2
543,colchicus,Common pheasant,1094.8,240.0,24.0,11.0,27.0
544,napoleonis,Palawan peacock-pheasant,550.0,365.0,19.0,2.0,15.0
548,cupido,Greater prairie chicken,908.0,183.0,23.0,13.0,5.0
549,pallidicinctus,Lesser prairie chicken,794.5,183.0,23.0,11.0,13.5
550,phasianellus,Sharp-tailed grouse,908.0,180.0,23.0,12.0,7.5
551,arctica,Black-throated diver,2724.0,1095.0,29.0,1.74,28.0
552,immer,Great northern diver,3405.0,1461.0,28.0,2.0,24.1
553,stellata,Red-throated diver,1816.0,1095.0,28.0,2.0,24.0
554,virgo,Demoiselle crane,2400.0,730.0,28.0,2.0,27.0
556,americana,Whooping crane,7500.0,1460.0,31.0,2.0,40.0
558,canadensis,Sandhill crane,3890.0,1095.0,29.0,2.0,36.6
560,japonensis,Red-crowned crane,8500.0,1095.0,31.0,2.0,25.2
564,vipio,White-naped crane,5400.0,1095.0,31.0,2.0,45.0
565,americana,American coot,450.8,365.0,23.0,10.0,22.3
