,Phylum,Common name,Maximum longevity (yrs)
0,Arthropoda,Daphnia,0.19
1,Arthropoda,Fruit fly,0.3
2,Arthropoda,Honey bee,8.0
6,Arthropoda,Cardiocondyla obscurior,0.5
7,Arthropoda,Black garden ant,28.0
8,Arthropoda,Pheidole dentata,0.4
9,Arthropoda,Squinting bush brown,0.5
10,Arthropoda,American lobster,100.0
11,Chordata,Firebelly toad,20.0
12,Chordata,Oriental firebelly toad,15.8
13,Chordata,Yellow-bellied toad,29.0
14,Chordata,American toad,36.0
15,Chordata,Western toad,11.5
16,Chordata,Yosemite toad,15.0
17,Chordata,Great plains toad,10.7
18,Chordata,Green toad,12.4
19,Chordata,Canadian toad,13.3
20,Chordata,Red-spotted toad,11.3
21,Chordata,Sonoran green toad,15.3
22,Chordata,Southern toad,10.0
23,Chordata,Veragoa stubfoot toad,10.0
24,Chordata,Common European toad,40.0
25,Chordata,Colorado river toad,15.4
26,Chordata,Kihansi spray toad,5.0
27,Chordata,Ridge-headed toad,10.7
28,Chordata,Cuban toad,20.0
29,Chordata,European green toad,11.9
30,Chordata,Colombian giant toad,28.7
31,Chordata,Cane toad,24.8
32,Chordata,Eurura toad,15.1
33,Chordata,Common horned frog,12.8
34,Chordata,Colombian horned frog,15.9
35,Chordata,Amazonian horned frog,10.3
36,Chordata,Ornate horned frog,14.7
37,Chordata,Green and black dart-poison frog,20.5
38,Chordata,Yellow-banded poison frog,11.5
39,Chordata,Kokoe-pa poison dart frog,9.1
40,Chordata,Strawberry poison frog,7.5
41,Chordata,African tigrine frog,10.9
42,Chordata,Northern cricket frog,4.9
43,Chordata,Maroon-eyed tree frog,5.5
44,Chordata,Treefrog,12.8
45,Chordata,European tree frog,22.0
46,Chordata,Cope's gray treefrog,7.8
47,Chordata,Barking treefrog,12.5
48,Chordata,Japanese treefrog,8.9
49,Chordata,Squirrel treefrog,8.5
50,Chordata,Gray treefrog,7.8
51,Chordata,Australian green treefrog,20.0
52,Chordata,Cuban treefrog,12.9
53,Chordata,Hispaniola giant treefrog,6.6
54,Chordata,Mexican leaf frog,8.7
55,Chordata,Waxy treefrog,10.3
56,Chordata,Paradox frog,11.0
57,Chordata,Mexican treefrog,6.3
58,Chordata,Lowland burrowing treefrog,5.1
59,Chordata,Masked treefrog,4.1
60,Chordata,Marbled treefrog,10.5
61,Chordata,Coastal tailed frog,14.0
62,Chordata,Tungara frog,18.8
63,Chordata,Golden mantella,10.9
64,Chordata,Blue-legged mantella,3.0
